model,datetime
EIA,12/29/2023 0:00
UNE,12/28/2023 21:30
UNE,12/21/2023 21:30
EIA,12/20/2023 23:30
UNE,12/14/2023 21:30
USRS,12/14/2023 21:30
ECB,12/14/2023 21:15
BOE,12/14/2023 20:00
SNB,12/14/2023 16:30
FOMC,12/14/2023 3:00
EIA,12/13/2023 23:30
USPPI,12/13/2023 21:30
USCPI,12/12/2023 21:30
NF,12/8/2023 21:30
UNE,12/7/2023 21:30
EIA,12/6/2023 23:30
BOC,12/6/2023 23:00
RBA,12/5/2023 11:30
ISM-M,12/1/2023 23:00
UNE,11/30/2023 21:30
EIA,11/29/2023 23:30
RBNZ,11/29/2023 9:00
USPMI,11/24/2023 22:45
GEPMI,11/23/2023 16:30
EIA,11/22/2023 23:30
UNE,11/22/2023 21:30
UNE,11/16/2023 21:30
EIA,11/15/2023 23:30
USPPI,11/15/2023 21:30
USRS,11/15/2023 21:30
USCPI,11/14/2023 21:30
UNE,11/9/2023 21:30
EIA,11/8/2023 23:30
RBA,11/7/2023 11:30
NF,11/3/2023 20:30
UNE,11/2/2023 20:30
BOE,11/2/2023 20:00
FOMC,11/2/2023 2:00
EIA,11/1/2023 22:30
ISM-M,11/1/2023 22:00
BOJ,10/31/2023 0:00
UNE,10/26/2023 20:30
ECB,10/26/2023 20:15
EIA,10/25/2023 22:30
BOC,10/25/2023 22:00
USPMI,10/24/2023 21:45
GEPMI,10/24/2023 15:30
UNE,10/19/2023 20:30
EIA,10/18/2023 22:30
USRS,10/17/2023 20:30
EIA,10/12/2023 23:00
USCPI,10/12/2023 20:30
UNE,10/12/2023 20:30
USPPI,10/11/2023 20:30
NF,10/6/2023 20:30
UNE,10/5/2023 20:30
EIA,10/4/2023 22:30
RBNZ,10/4/2023 9:00
RBA,10/3/2023 11:30
ISM-M,10/2/2023 22:00
UNE,9/28/2023 20:30
EIA,9/27/2023 22:30
USPMI,9/22/2023 21:45
GEPMI,9/22/2023 15:30
UNE,9/21/2023 20:30
BOE,9/21/2023 19:00
SNB,9/21/2023 15:30
FOMC,9/21/2023 2:00
EIA,9/20/2023 22:30
UNE,9/14/2023 20:30
USPPI,9/14/2023 20:30
USRS,9/14/2023 20:30
ECB,9/14/2023 20:15
EIA,9/13/2023 22:30
USCPI,9/13/2023 20:30
EIA,9/7/2023 23:00
UNE,9/7/2023 20:30
BOC,9/6/2023 22:00
RBA,9/5/2023 12:30
RBA,9/5/2023 12:30
ISM-M,9/1/2023 22:00
NF,9/1/2023 20:30
UNE,8/31/2023 20:30
EIA,8/30/2023 22:30
UNE,8/24/2023 20:30
EIA,8/23/2023 22:30
USPMI,8/23/2023 21:45
GEPMI,8/23/2023 15:30
UNE,8/17/2023 20:30
EIA,8/16/2023 22:30
RBNZ,8/16/2023 10:00
USRS,8/15/2023 20:30
USPPI,8/11/2023 20:30
USCPI,8/10/2023 20:30
UNE,8/10/2023 20:30
EIA,8/9/2023 22:30
NF,8/4/2023 20:30
UNE,8/3/2023 20:30
BOE,8/3/2023 19:00
EIA,8/2/2023 22:30
ISM-M,8/1/2023 22:00
BOJ,7/28/2023 0:00
UNE,7/27/2023 20:30
ECB,7/27/2023 20:15
FOMC,7/27/2023 2:00
EIA,7/26/2023 22:30
USPMI,7/24/2023 21:45
GEPMI,7/24/2023 15:30
UNE,7/20/2023 20:30
EIA,7/19/2023 22:30
USRS,7/18/2023 20:30
UNE,7/13/2023 20:30
USPPI,7/13/2023 20:30
EIA,7/12/2023 22:30
BOC,7/12/2023 22:00
USCPI,7/12/2023 20:30
RBNZ,7/12/2023 10:00
NF,7/7/2023 20:30
EIA,7/6/2023 23:00
UNE,7/6/2023 20:30
RBA,7/4/2023 12:30
ISM-M,7/3/2023 22:00
UNE,6/29/2023 20:30
EIA,6/28/2023 22:30
USPMI,6/23/2023 21:45
GEPMI,6/23/2023 15:30
EIA,6/22/2023 23:00
UNE,6/22/2023 20:30
BOE,6/22/2023 19:00
SNB,6/22/2023 15:30
BOJ,6/16/2023 0:00
UNE,6/15/2023 20:30
USRS,6/15/2023 20:30
ECB,6/15/2023 20:15
FOMC,6/15/2023 2:00
EIA,6/14/2023 22:30
USPPI,6/14/2023 20:30
USCPI,6/13/2023 20:30
UNE,6/8/2023 20:30
EIA,6/7/2023 22:30
BOC,6/7/2023 22:00
RBA,6/6/2023 12:30
NF,6/2/2023 20:30
EIA,6/1/2023 23:00
ISM-M,6/1/2023 22:00
UNE,6/1/2023 20:30
UNE,5/25/2023 20:30
EIA,5/24/2023 22:30
RBNZ,5/24/2023 10:00
USPMI,5/23/2023 21:45
GEPMI,5/23/2023 15:30
UNE,5/18/2023 20:30
EIA,5/17/2023 22:30
USRS,5/16/2023 20:30
UNE,5/11/2023 20:30
USPPI,5/11/2023 20:30
BOE,5/11/2023 19:00
EIA,5/10/2023 22:30
USCPI,5/10/2023 20:30
NF,5/5/2023 20:30
UNE,5/4/2023 20:30
ECB,5/4/2023 20:15
FOMC,5/4/2023 2:00
EIA,5/3/2023 22:30
RBA,5/2/2023 12:30
ISM-M,5/1/2023 22:00
BOJ,4/28/2023 12:00
UNE,4/27/2023 20:30
EIA,4/26/2023 22:30
USPMI,4/21/2023 21:45
GEPMI,4/21/2023 15:30
UNE,4/20/2023 20:30
EIA,4/19/2023 22:30
USRS,4/14/2023 20:30
UNE,4/13/2023 20:30
USPPI,4/13/2023 20:30
EIA,4/12/2023 22:30
BOC,4/12/2023 22:00
USCPI,4/12/2023 20:30
NF,4/7/2023 20:30
UNE,4/6/2023 20:30
EIA,4/5/2023 22:30
RBNZ,4/5/2023 10:00
RBA,4/4/2023 12:30
